canonical_email,business_name_clean,region,business_size,annual_revenue_band,years_in_operation,years_in_operation_band,machine_count,primary_business_model,customer_mix,current_pricing_method,price_review_frequency,production_cost_score,real_labor_score,intended_profit_score,capacity_pressure_score,end_customer_value_score,diagnostic_total_score,pricing_maturity_tier,has_structured_pricing_system,labor_underpriced_flag,profit_target_missing_flag,capacity_pricing_gap_flag,Open Comment,q1_score,q2_score,q3_score,q4_score,q5_score,q6_score,q7_score,q8_score,q9_score,q10_score,business_size_segment,revenue_segment,experience_segment,pricing_method_segment,customer_focus_segment,weakest_driver_segment,region_segment
sales@oakworksshop.example,Oak Works Shop,West,2-5 employees,Under $50k,1,<2,2,Mixed services,Mostly consumers,Informal/custom quote,When costs change,2,2,2,1,2,9,Partial Pricing System,False,False,False,True,,1,1,1,1,1,1,0,1,1,1,2-5 employees,Under $100k,Newcomer (0-3 yrs),Informal/custom quote,Consumer,Capacity Pressure,West
info5@prairiedigitizingstudi.example,Prairie Digitizing Studio,Northeast,2-5 employees,Unknown,20,11-20,2,Mixed services,Contract/B2B,Unknown,When costs change,3,2,2,1,2,10,Partial Pricing System,False,False,False,True,I need a better way to account for setup time.,2,1,1,1,1,1,1,0,1,1,2-5 employees,Unknown,Veteran (11-20),Unknown,B2B,Capacity Pressure,Northeast
owner@brightstitchco.example,Bright Stitch Co.,South,2-5 employees,$100k-$250k,16,11-20,4,Decorated apparel,Small business/local orgs,Cost-plus,Unknown,3,2,2,1,2,10,Partial Pricing System,False,False,False,True,,2,1,1,1,1,1,0,1,1,1,2-5 employees,$100k-$500k,Veteran (11-20),Cost-plus,Mixed,Capacity Pressure,South
office@mapleembroiderygroup16.example,Maple Embroidery Group #1664,West,2-5 employees,Unknown,8,6-10,2,Team/school spiritwear,Mostly consumers,Cost-plus,Rarely/never,1,1,0,1,1,4,Pricing Blind Spots,False,True,True,True,,0,1,0,1,0,0,1,0,0,1,2-5 employees,Unknown,Established (4-10),Cost-plus,Consumer,Intended Profit,West
sales@blueridgethreadsshop.example,Blue Ridge Threads Shop,Northeast,11-25 employees,$250k-$500k,18,11-20,10,Custom embroidery,Mixed,Informal/custom quote,Annually,4,3,3,2,3,15,Strong Pricing System,True,False,False,False,,2,2,2,1,2,1,1,1,2,1,11-25 employees,$100k-$500k,Veteran (11-20),Informal/custom quote,Mixed,Capacity Pressure,Northeast
owner@magnoliamonogramscompa.example,Magnolia Monograms Company #1390,South,2-5 employees,$250k-$500k,10,6-10,5,Decorated apparel,Mixed,Stitch-count based,Unknown,4,4,2,4,3,17,Strong Pricing System,True,False,False,False,Rush jobs are where we get into trouble.,2,2,2,2,1,1,2,2,1,2,2-5 employees,$100k-$500k,Established (4-10),Stitch-count based,Mixed,Intended Profit,South
info@magnolialogoshopgroup1.example,Magnolia Logo Shop Group #1410,South,2-5 employees,Unknown,13,11-20,2,Team/school spiritwear,Contract/B2B,Hybrid/job costing,When costs change,3,3,2,2,2,12,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,1,2,1,2,1,1,1,1,1,1,2-5 employees,Unknown,Veteran (11-20),Hybrid/job costing,B2B,Intended Profit,South
hello@prairiedesignsshop.exmaple,Prairie Designs Shop,South,2-5 employees,$50k-$100k,0,<2,5,Decorated apparel,Small business/local orgs,Stitch-count based,Before every quote,1,0,0,1,1,3,Pricing Blind Spots,False,True,True,True,We are trying to stop undercharging.,1,0,0,0,0,0,0,1,1,0,2-5 employees,Under $100k,Newcomer (0-3 yrs),Stitch-count based,Mixed,Real Labor,South
hello@lakesidelogoshopcollec.example,Lakeside Logo Shop Collective,Midwest,2-5 employees,Unknown,14,11-20,10,Decorated apparel,Unknown,Cost-plus,When costs change,4,3,4,2,2,15,Strong Pricing System,True,False,False,False,,2,2,1,2,2,2,1,1,1,1,2-5 employees,Unknown,Veteran (11-20),Cost-plus,Mixed,Capacity Pressure,Midwest
info@willowlogoshopllc1465.example,Willow Logo Shop Llc #1465,Midwest,2-5 employees,$250k-$500k,14,11-20,1,Decorated apparel,Schools/teams,Unknown,Annually,2,2,2,2,2,10,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,1,1,1,1,1,1,1,1,1,1,2-5 employees,$100k-$500k,Veteran (11-20),Unknown,Mixed,Production Cost,Midwest
info@redbarnapparelstudio14.example,Red Barn Apparel Studio #1417,Midwest,2-5 employees,$250k-$500k,20,11-20,3,Contract embroidery,Mostly consumers,Hybrid/job costing,When costs change,4,3,2,3,3,15,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,2,1,2,1,1,1,2,1,2,2-5 employees,$100k-$500k,Veteran (11-20),Hybrid/job costing,Consumer,Intended Profit,Midwest
sales@redbarndesignscompany1.example,Red Barn Designs Company #1427,Northeast,Solo owner/operator,Under $50k,0,<2,1,Unknown,Corporate/commercial,Stitch-count based,When costs change,2,0,0,0,1,3,Pricing Blind Spots,False,True,True,True,Rush jobs are where we get into trouble.,1,1,0,0,0,0,0,0,1,0,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Stitch-count based,B2B,Real Labor,Northeast
info@heritagedecoratedgoods.example,Heritage Decorated Goods Llc #1398,Midwest,2-5 employees,$250k-$500k,14,11-20,2,Decorated apparel,Contract/B2B,Informal/custom quote,Rarely/never,3,2,2,2,2,11,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,2,1,1,1,1,1,1,1,1,1,2-5 employees,$100k-$500k,Veteran (11-20),Informal/custom quote,B2B,Real Labor,Midwest
hello6@magnolianeedleworkscom.example,Magnolia Needleworks Company #1650,West,2-5 employees,$50k-$100k,20,11-20,1,Mixed services,Mixed,Cost-plus,When costs change,3,3,0,2,2,10,Partial Pricing System,False,False,True,False,,1,2,1,2,0,0,1,1,1,1,2-5 employees,Under $100k,Veteran (11-20),Cost-plus,Mixed,Intended Profit,West
office@needlelogoshopcompany.example,Needle Logo Shop Company,Northeast,Solo owner/operator,$50k-$100k,3,2-5,1,Contract embroidery,Mixed,Informal/custom quote,Rarely/never,2,1,0,0,1,4,Pricing Blind Spots,False,True,True,True,I need a better way to account for setup time.,1,1,1,0,0,0,0,0,1,0,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Informal/custom quote,Mixed,Intended Profit,Northeast
quotes@redbarnstudiocollectiv.example,Red Barn Studio Collective #1366,South,2-5 employees,$500k-$1M,22,21+,4,Contract embroidery,Contract/B2B,Informal/custom quote,Rarely/never,2,1,0,1,0,4,Pricing Blind Spots,False,True,True,True,Rush jobs are where we get into trouble.,1,1,0,1,0,0,1,0,0,0,2-5 employees,$500k+,Legacy (21+),Informal/custom quote,B2B,Intended Profit,South
contact@bobbincreative1532.example,Bobbin Creative #1532,South,2-5 employees,$100k-$250k,0,<2,3,Custom embroidery,Schools/teams,Stitch-count based,Rarely/never,0,0,0,0,0,0,Pricing Blind Spots,False,True,True,True,,0,0,0,0,0,0,0,0,0,0,2-5 employees,$100k-$500k,Newcomer (0-3 yrs),Stitch-count based,Mixed,Production Cost,South
sales@stitchwearables1447.example,Stitch Wearables #1447,Northeast,6-10 employees,$50k-$100k,13,11-20,4,Custom embroidery,Mixed,Stitch-count based,Quarterly,3,3,2,2,3,13,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,2,1,1,2,1,1,1,1,1,2,6-10 employees,Under $100k,Veteran (11-20),Stitch-count based,Mixed,Intended Profit,Northeast
hello@hoopneedleworkscollect.example,Hoop Needleworks Collective,Northeast,Solo owner/operator,$50k-$100k,0,<2,1,Unknown,Mostly consumers,Informal/custom quote,Rarely/never,1,0,1,1,0,3,Pricing Blind Spots,False,True,True,True,I need a better way to account for setup time.,1,0,0,0,0,1,1,0,0,0,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Informal/custom quote,Consumer,Real Labor,Northeast
owner3@stitchdecoratedgoodssh.example,Stitch Decorated Goods Shop #1598,Midwest,Solo owner/operator,$250k-$500k,0,<2,1,Decorated apparel,Small business/local orgs,Informal/custom quote,When costs change,0,0,0,0,0,0,Pricing Blind Spots,False,True,True,True,,0,0,0,0,0,0,0,0,0,0,Solo owner/operator,$100k-$500k,Newcomer (0-3 yrs),Informal/custom quote,Mixed,Production Cost,Midwest
quotes@urbanlogoshopstudio.example,Urban Logo Shop Studio,Midwest,6-10 employees,$100k-$250k,2,2-5,6,Custom embroidery,Schools/teams,Competitor-based,Rarely/never,2,1,0,0,0,3,Pricing Blind Spots,False,True,True,True,Rush jobs are where we get into trouble.,1,1,0,1,0,0,0,0,0,0,6-10 employees,$100k-$500k,Newcomer (0-3 yrs),Competitor-based,Mixed,Intended Profit,Midwest
sales@willowcustomsshop1458.example,Willow Customs Shop #1458,West,2-5 employees,$100k-$250k,2,2-5,2,Decorated apparel,Mixed,Informal/custom quote,Annually,0,1,0,0,1,2,Pricing Blind Spots,False,True,True,True,Rush jobs are where we get into trouble.,0,0,0,1,0,0,0,0,1,0,2-5 employees,$100k-$500k,Newcomer (0-3 yrs),Informal/custom quote,Mixed,Production Cost,West
contact@mainstreetembroideryco.example,Main Street Embroidery Company #1523,South,Solo owner/operator,Under $50k,17,11-20,2,Custom embroidery,Contract/B2B,Cost-plus,When costs change,3,3,2,2,4,14,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,2,1,1,2,1,1,1,1,2,2,Solo owner/operator,Under $100k,Veteran (11-20),Cost-plus,B2B,Intended Profit,South
owner@bobbinembroideryllc146.example,Bobbin Embroidery Llc #1466,South,Solo owner/operator,Unknown,4,2-5,5,Decorated apparel,Small business/local orgs,Competitor-based,When costs change,4,2,2,1,2,11,Partial Pricing System,False,False,False,True,Pricing is the hardest part of the business.,2,2,1,1,1,1,1,0,1,1,Solo owner/operator,Unknown,Established (4-10),Competitor-based,Mixed,Capacity Pressure,South
quotes@goldenworkscollective.example,Golden Works Collective,Canada/Other,26+ employees,$250k-$500k,2,2-5,10,Contract embroidery,Mostly consumers,Cost-plus,When costs change,3,3,2,2,2,12,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,1,2,1,2,1,1,1,1,1,1,26+ employees,$100k-$500k,Newcomer (0-3 yrs),Cost-plus,Consumer,Intended Profit,Canada/Other
quotes5@redbarndecoratedgoods.example,Red Barn Decorated Goods,South,6-10 employees,$100k-$250k,7,6-10,8,Contract embroidery,Mostly consumers,Stitch-count based,Annually,4,3,3,2,3,15,Strong Pricing System,True,False,False,False,,2,2,1,2,2,1,1,1,1,2,6-10 employees,$100k-$500k,Established (4-10),Stitch-count based,Consumer,Capacity Pressure,South
sales1@silverstitchcocompany1.example,Silver Stitch Co. Company #1547,West,Solo owner/operator,$250k-$500k,7,6-10,1,Decorated apparel,Corporate/commercial,Stitch-count based,Unknown,0,0,0,0,0,0,Pricing Blind Spots,False,True,True,True,,0,0,0,0,0,0,0,0,0,0,Solo owner/operator,$100k-$500k,Established (4-10),Stitch-count based,B2B,Production Cost,West
sales@willowworkscompany.example,Willow Works Company,West,2-5 employees,$100k-$250k,6,6-10,4,Contract embroidery,Mostly consumers,Stitch-count based,Unknown,2,1,0,1,1,5,Pricing Blind Spots,False,True,True,True,We are trying to stop undercharging.,1,1,1,0,0,0,1,0,0,1,2-5 employees,$100k-$500k,Established (4-10),Stitch-count based,Consumer,Intended Profit,West
quotes@oakembroiderycompany.example,Oak Embroidery Company,Midwest,Unknown,Under $50k,16,11-20,1,Decorated apparel,Small business/local orgs,Stitch-count based,Annually,2,1,2,1,2,8,Partial Pricing System,False,True,False,True,Pricing is the hardest part of the business.,1,1,0,1,1,1,1,0,1,1,Unknown,Under $100k,Veteran (11-20),Stitch-count based,Mixed,Real Labor,Midwest
info@prairiecustomsstudio.example,Prairie Customs Studio,Midwest,Solo owner/operator,$100k-$250k,0,<2,1,Mixed services,Mixed,Competitor-based,Unknown,2,0,0,0,0,2,Pricing Blind Spots,False,True,True,True,Most customers compare us by stitch count.,1,1,0,0,0,0,0,0,0,0,Solo owner/operator,$100k-$500k,Newcomer (0-3 yrs),Competitor-based,Mixed,Real Labor,Midwest
info@redbarnwearablescompan.example,Red Barn Wearables Company,West,Solo owner/operator,Under $50k,9,6-10,2,Mixed services,Small business/local orgs,Informal/custom quote,Annually,2,2,1,1,1,7,Pricing Blind Spots,False,False,True,True,,1,1,1,1,1,0,1,0,1,0,Solo owner/operator,Under $100k,Established (4-10),Informal/custom quote,Mixed,Intended Profit,West
owner0@summitapparelllc.example,Summit Apparel Llc,South,2-5 employees,$100k-$250k,13,11-20,5,Decorated apparel,Mixed,Cost-plus,Rarely/never,1,2,2,1,2,8,Partial Pricing System,False,False,False,True,,1,0,1,1,1,1,1,0,1,1,2-5 employees,$100k-$500k,Veteran (11-20),Cost-plus,Mixed,Production Cost,South
hello@silverdecoratedgoodsco.example,Silver Decorated Goods Collective,Midwest,Solo owner/operator,$100k-$250k,8,6-10,1,Decorated apparel,Mostly consumers,Informal/custom quote,Rarely/never,0,0,0,0,0,0,Pricing Blind Spots,False,True,True,True,,0,0,0,0,0,0,0,0,0,0,Solo owner/operator,$100k-$500k,Established (4-10),Informal/custom quote,Consumer,Production Cost,Midwest
quotes@riverdesignsshop.example,River Designs Shop,South,2-5 employees,$50k-$100k,7,6-10,6,Mixed services,Contract/B2B,Stitch-count based,When costs change,3,2,2,2,2,11,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,1,2,1,1,1,1,1,1,1,1,2-5 employees,Under $100k,Established (4-10),Stitch-count based,B2B,Real Labor,South
sales@luckyprintstitchllc170.example,Lucky Print & Stitch Llc #1704,West,Solo owner/operator,$100k-$250k,5,2-5,3,Mixed services,Contract/B2B,Stitch-count based,When costs change,3,4,3,2,2,14,Partial Pricing System,False,False,False,False,I need a better way to account for setup time.,2,1,2,2,1,2,1,1,1,1,Solo owner/operator,$100k-$500k,Established (4-10),Stitch-count based,B2B,Capacity Pressure,West
quotes@ironbrandingstudio.example,Iron Branding Studio,West,Solo owner/operator,$100k-$250k,9,6-10,1,Contract embroidery,Mostly consumers,Stitch-count based,When costs change,2,1,0,0,0,3,Pricing Blind Spots,False,True,True,True,Rush jobs are where we get into trouble.,1,1,1,0,0,0,0,0,0,0,Solo owner/operator,$100k-$500k,Established (4-10),Stitch-count based,Consumer,Intended Profit,West
quotes2@luckycustomsllc.example,Lucky Customs Llc,South,2-5 employees,Under $50k,5,2-5,6,Decorated apparel,Mixed,Value-based,When costs change,2,3,1,1,3,10,Partial Pricing System,False,False,True,True,Pricing is the hardest part of the business.,1,1,1,2,0,1,0,1,2,1,2-5 employees,Under $100k,Established (4-10),Value-based,Mixed,Intended Profit,South
owner@brightdigitizingcompan.example,Bright Digitizing Company #1724,Canada/Other,6-10 employees,Unknown,24,21+,15,Promotional products,Small business/local orgs,Cost-plus,When costs change,4,4,4,3,4,19,Strong Pricing System,True,False,False,False,,2,2,2,2,2,2,1,2,2,2,6-10 employees,Unknown,Legacy (21+),Cost-plus,Mixed,Capacity Pressure,Canada/Other
contact@willowneedleworks.example,Willow Needleworks,West,Solo owner/operator,Under $50k,11,11-20,1,Team/school spiritwear,Schools/teams,Unknown,When costs change,3,2,3,2,2,12,Partial Pricing System,False,False,False,False,,1,2,1,1,2,1,1,1,1,1,Solo owner/operator,Under $100k,Veteran (11-20),Unknown,Mixed,Real Labor,West
quotes@willowembroiderycompan.example,Willow Embroidery Company #1544,South,11-25 employees,$100k-$250k,20,11-20,8,Promotional products,Schools/teams,Cost-plus,Quarterly,4,3,4,3,4,18,Strong Pricing System,True,False,False,False,Most customers compare us by stitch count.,2,2,1,2,2,2,1,2,2,2,11-25 employees,$100k-$500k,Veteran (11-20),Cost-plus,Mixed,Real Labor,South
quotes@ironembroiderycollecti.example,Iron Embroidery Collective #1498,West,6-10 employees,Unknown,14,11-20,12,Decorated apparel,Small business/local orgs,Informal/custom quote,Annually,4,4,4,2,4,18,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,2,2,2,2,2,1,1,2,2,6-10 employees,Unknown,Veteran (11-20),Informal/custom quote,Mixed,Capacity Pressure,West
contact@summitapparel.example,Summit Apparel,South,2-5 employees,$250k-$500k,15,11-20,6,Custom embroidery,Mixed,Unknown,Unknown,3,2,2,0,2,9,Partial Pricing System,False,False,False,True,I need a better way to account for setup time.,1,2,1,1,1,1,0,0,1,1,2-5 employees,$100k-$500k,Veteran (11-20),Unknown,Mixed,Capacity Pressure,South
info1@mapledigitizingcompany.example,Maple Digitizing Company #1589,South,Solo owner/operator,Under $50k,9,6-10,1,Custom embroidery,Mixed,Stitch-count based,When costs change,4,3,2,2,4,15,Strong Pricing System,True,False,False,False,,2,2,1,2,1,1,1,1,2,2,Solo owner/operator,Under $100k,Established (4-10),Stitch-count based,Mixed,Intended Profit,South
hello1@hoopstudiocollective14.example,Hoop Studio Collective #1477,Midwest,2-5 employees,Unknown,1,<2,3,Mixed services,Small business/local orgs,Unknown,When costs change,2,2,1,2,1,8,Partial Pricing System,False,False,True,False,,1,1,1,1,1,0,1,1,0,1,2-5 employees,Unknown,Newcomer (0-3 yrs),Unknown,Mixed,Intended Profit,Midwest
info@maplemonogramsshop.example,Maple Monograms Shop,South,2-5 employees,$500k-$1M,19,11-20,15,Team/school spiritwear,Contract/B2B,Informal/custom quote,Annually,3,3,2,2,3,13,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,1,2,2,1,1,1,1,1,2,1,2-5 employees,$500k+,Veteran (11-20),Informal/custom quote,B2B,Intended Profit,South
contact@brightdesignsgroup1703.example,Bright Designs Group #1703,South,6-10 employees,$100k-$250k,2,2-5,10,Promotional products,Mixed,Stitch-count based,Annually,4,4,2,2,3,15,Strong Pricing System,True,False,False,False,Pricing is the hardest part of the business.,2,2,2,2,1,1,1,1,1,2,6-10 employees,$100k-$500k,Newcomer (0-3 yrs),Stitch-count based,Mixed,Intended Profit,South
info@summitdecoratedgoodsst.example,Summit Decorated Goods Studio,West,6-10 employees,$100k-$250k,14,11-20,5,Decorated apparel,Mostly consumers,Stitch-count based,When costs change,4,4,2,2,3,15,Strong Pricing System,True,False,False,False,Rush jobs are where we get into trouble.,2,2,2,2,1,1,1,1,2,1,6-10 employees,$100k-$500k,Veteran (11-20),Stitch-count based,Consumer,Intended Profit,West
owner6@cedarcreativestudio146.example,Cedar Creative Studio #1461,West,Solo owner/operator,$50k-$100k,20,11-20,1,Custom embroidery,Mostly consumers,Hybrid/job costing,Annually,4,4,3,3,3,17,Strong Pricing System,True,False,False,False,Pricing is the hardest part of the business.,2,2,2,2,1,2,2,1,2,1,Solo owner/operator,Under $100k,Veteran (11-20),Hybrid/job costing,Consumer,Intended Profit,West
office@irondecoratedgoodsllc1.example,Iron Decorated Goods Llc #1472,South,2-5 employees,$500k-$1M,8,6-10,6,Team/school spiritwear,Mixed,Cost-plus,Rarely/never,3,3,2,2,2,12,Partial Pricing System,False,False,False,False,Pricing is the hardest part of the business.,2,1,2,1,1,1,1,1,1,1,2-5 employees,$500k+,Established (4-10),Cost-plus,Mixed,Intended Profit,South
info@summitdigitizing1559.example,Summit Digitizing #1559,Midwest,2-5 employees,$500k-$1M,20,11-20,3,Custom embroidery,Mixed,Informal/custom quote,Rarely/never,1,2,0,1,1,5,Pricing Blind Spots,False,False,True,True,We are trying to stop undercharging.,1,0,1,1,0,0,1,0,1,0,2-5 employees,$500k+,Veteran (11-20),Informal/custom quote,Mixed,Intended Profit,Midwest
sales@magnoliacustomsshop143.example,Magnolia Customs Shop #1430,South,Solo owner/operator,Under $50k,8,6-10,1,Mixed services,Mixed,Informal/custom quote,When costs change,2,2,1,0,1,6,Pricing Blind Spots,False,False,True,True,I need a better way to account for setup time.,1,1,1,1,1,0,0,0,1,0,Solo owner/operator,Under $100k,Established (4-10),Informal/custom quote,Mixed,Capacity Pressure,South
hello@bobbinprintstitch.example,Bobbin Print & Stitch,West,2-5 employees,$100k-$250k,20,11-20,2,Decorated apparel,Corporate/commercial,Unknown,When costs change,2,1,2,2,2,9,Partial Pricing System,False,True,False,False,I need a better way to account for setup time.,1,1,1,0,1,1,1,1,1,1,2-5 employees,$100k-$500k,Veteran (11-20),Unknown,B2B,Real Labor,West
